,prompts,outputs_tags,tags,values
764,¿Cuáles son el negocio del codigo 19372?,negocio,codigo,19372
765,¿Cual es  el stock del codigo 13227?,stock,codigo,13227
766,¿Cual es la marca del codigo 20433?,marca,codigo,20433
767,¿Cual es  el calibre del codigo 18590?,calibre,codigo,18590
768,¿Cual es  el calibre del codigo 22996?,calibre,codigo,22996
769,¿Cual es  el stock del codigo 20746?,stock,codigo,20746
770,¿Cual es  el calibre del codigo 18943?,calibre,codigo,18943
771,¿Cuáles son el negocio del codigo 21777?,negocio,codigo,21777
772,¿Cuáles son el negocio del codigo 7012?,negocio,codigo,7012
773,¿Cual es  el stock del codigo 7650?,stock,codigo,7650
774,¿Cual es  el calibre del codigo 7182?,calibre,codigo,7182
775,¿Cual es  el calibre del codigo 8226?,calibre,codigo,8226
776,¿Cual es la marca del codigo 2201?,marca,codigo,2201
777,¿Cual es el negocio de la marca gordons?,negocio,marca,gordons
778,¿Cuáles son el negocio del codigo 2201?,negocio,codigo,2201
779,¿Cual es  el calibre del codigo 19264?,calibre,codigo,19264
780,¿Cual es  el stock del codigo 19539?,stock,codigo,19539
781,¿Cual es el negocio de la marca patagonia?,negocio,marca,patagonia
782,¿Cual es la marca del codigo 18558?,marca,codigo,18558
783,¿Cual es  el calibre del codigo 22460?,calibre,codigo,22460
784,¿Cuáles son el negocio del codigo 19524?,negocio,codigo,19524
785,¿Cuáles son el negocio del codigo 17095?,negocio,codigo,17095
786,¿Cual es la marca del codigo 19545?,marca,codigo,19545
787,¿Cual es la marca del codigo 667?,marca,codigo,667
788,¿Cual es  el calibre del codigo 18570?,calibre,codigo,18570
789,¿Cuáles son las marcas del calibre 300?,marca,calibre,300
790,¿Cual es el negocio de la marca patagonia amber lager?,negocio,marca,patagonia amber lager
791,¿Cuáles son  los stocks de la marca rockstar?,stock,marca,rockstar
792,¿Cual es  el stock del codigo 19492?,stock,codigo,19492
793,¿Cuáles son el negocio del codigo 19261?,negocio,codigo,19261
794,¿Cual es  el calibre del codigo 23947?,calibre,codigo,23947
795,¿Cuáles son el negocio del codigo 15136?,negocio,codigo,15136
796,¿Cuáles son el negocio del codigo 1423?,negocio,codigo,1423
797,¿Cuáles son  los stocks del negocio HECO?,stock,negocio,HECO
798,¿Cuáles son el negocio del codigo 6578?,negocio,codigo,6578
799,¿Cuáles son el negocio del codigo 22015?,negocio,codigo,22015
800,¿Cual es  el calibre del codigo 10776?,calibre,codigo,10776
801,¿Cual es  el calibre del codigo 7475?,calibre,codigo,7475
802,¿Cual es  el calibre del codigo 22015?,calibre,codigo,22015
803,¿Cual es  el calibre del codigo 10557?,calibre,codigo,10557
804,¿Cual es  el stock del codigo 19015?,stock,codigo,19015
805,¿Cuáles son el negocio del codigo 76447?,negocio,codigo,76447
806,¿Cuáles son  los stocks del calibre 740?,stock,calibre,740
807,¿Cual es  el calibre del codigo 8228?,calibre,codigo,8228
808,¿Cuáles son  los stocks de la marca patagonia amber lager?,stock,marca,patagonia amber lager
809,¿Cual es la marca del codigo 22492?,marca,codigo,22492
810,¿Cual es la marca del codigo 2438?,marca,codigo,2438
811,¿Cual es la marca del codigo 22058?,marca,codigo,22058
812,¿Cual es la marca del codigo 24878?,marca,codigo,24878
813,¿Cual es la marca del codigo 16370?,marca,codigo,16370
814,¿Cuáles son el negocio del codigo 18361?,negocio,codigo,18361
815,¿Cual es la marca del codigo 19538?,marca,codigo,19538
816,¿Cual es la marca del codigo 14939?,marca,codigo,14939
817,¿Cual es la marca del codigo 14509?,marca,codigo,14509
818,¿Cual es  el calibre del codigo 5742?,calibre,codigo,5742
819,¿Cual es  el calibre del codigo 21971?,calibre,codigo,21971
820,¿Cual es  el stock del codigo 16401?,stock,codigo,16401
821,¿Cual es  el stock del codigo 24011?,stock,codigo,24011
822,¿Cual es  el stock del codigo 19725?,stock,codigo,19725
823,¿Cual es la marca del codigo 1423?,marca,codigo,1423
824,¿Cual es  el calibre del codigo 1416?,calibre,codigo,1416
825,¿Cual es la marca del codigo 21810?,marca,codigo,21810
826,¿Cual es la marca del codigo 20809?,marca,codigo,20809
827,¿Cuáles son el negocio del codigo 10716?,negocio,codigo,10716
828,¿Cual es la marca del codigo 24172?,marca,codigo,24172
829,¿Cuáles son el negocio del codigo 16951?,negocio,codigo,16951
830,¿Cual es  el calibre del codigo 24092?,calibre,codigo,24092
831,¿Cual es la marca del codigo 17359?,marca,codigo,17359
832,¿Cuáles son el negocio del codigo 6582?,negocio,codigo,6582
833,¿Cual es la marca del codigo 24075?,marca,codigo,24075
834,¿Cuáles son el negocio del calibre 30 l?,negocio,calibre,30 l
835,¿Cual es  el calibre del codigo 1658?,calibre,codigo,1658
836,¿Cual es la marca del codigo 20746?,marca,codigo,20746
837,¿Cual es la marca del codigo 21902?,marca,codigo,21902
838,¿Cual es  el calibre del codigo 20751?,calibre,codigo,20751
839,¿Cuáles son el negocio del codigo 22455?,negocio,codigo,22455
840,¿Cual es  el stock del codigo 22993?,stock,codigo,22993
841,¿Cual es la marca del codigo 732?,marca,codigo,732
842,¿Cual es  el stock del codigo 2859?,stock,codigo,2859
843,¿Cuáles son  los codigos de la marca Aperol?,codigo,marca,Aperol
844,¿Cual es  el stock del codigo 12195?,stock,codigo,12195
845,¿Cuáles son el negocio del codigo 898?,negocio,codigo,898
846,¿Cuáles son el negocio del codigo 18569?,negocio,codigo,18569
847,¿Cuáles son  los calibres del negocio HECO?,calibre,negocio,HECO
848,¿Cuáles son el negocio del codigo 1473?,negocio,codigo,1473
849,¿Cual es  el calibre del codigo 24358?,calibre,codigo,24358
850,¿Cual es  el stock del codigo 22469?,stock,codigo,22469
851,¿Cual es la marca del codigo 100?,marca,codigo,100
852,¿Cual es la marca del codigo 24071?,marca,codigo,24071
853,¿Cuáles son  los codigos de la marca capriccio?,codigo,marca,capriccio
854,¿Cual es  el calibre del codigo 7110?,calibre,codigo,7110
855,¿Cual es la marca del codigo 591?,marca,codigo,591
856,¿Cuáles son el negocio del codigo 24168?,negocio,codigo,24168
857,¿Cual es  el stock del codigo 15624?,stock,codigo,15624
858,¿Cual es  el calibre del codigo 1062?,calibre,codigo,1062
859,¿Cual es la marca del codigo 76419?,marca,codigo,76419
860,¿Cuáles son el negocio del calibre 950?,negocio,calibre,950
861,¿Cual es la marca del codigo 21677?,marca,codigo,21677
862,¿Cual es  el calibre del codigo 11945?,calibre,codigo,11945
863,¿Cual es  el calibre del codigo 10700?,calibre,codigo,10700
864,¿Cual es  el calibre del codigo 14095?,calibre,codigo,14095
865,¿Cuáles son el negocio del codigo 8030?,negocio,codigo,8030
866,¿Cual es la marca del codigo 23111?,marca,codigo,23111
867,¿Cuáles son  los codigos de la marca petit?,codigo,marca,petit
868,¿Cual es  el stock del codigo 7651?,stock,codigo,7651
869,¿Cual es la marca del codigo 20468?,marca,codigo,20468
870,¿Cual es la marca del codigo 22061?,marca,codigo,22061
871,¿Cual es  el calibre del codigo 22506?,calibre,codigo,22506
872,¿Cual es la marca del codigo 22054?,marca,codigo,22054
873,¿Cuáles son el negocio del codigo 23265?,negocio,codigo,23265
874,¿Cuáles son las marcas del calibre 330 s/r?,marca,calibre,330 s/r
875,¿Cual es  el calibre del codigo 82?,calibre,codigo,82
876,¿Cuáles son  los stocks del calibre 473?,stock,calibre,473
877,¿Cual es  el stock del codigo 701?,stock,codigo,701
878,¿Cual es  el calibre del codigo 7985?,calibre,codigo,7985
879,¿Cuáles son  los codigos de la marca andes origen trigueña?,codigo,marca,andes origen trigueña
880,¿Cual es  el calibre del codigo 13503?,calibre,codigo,13503
881,¿Cual es la marca del codigo 19189?,marca,codigo,19189
882,¿Cual es  el calibre del codigo 11072?,calibre,codigo,11072
883,¿Cuáles son  los codigos del negocio NIB?,codigo,negocio,NIB
884,¿Cuáles son  los codigos del calibre 500?,codigo,calibre,500
885,¿Cuáles son  los codigos del calibre 330?,codigo,calibre,330
886,¿Cuáles son el negocio del codigo 18878?,negocio,codigo,18878
887,¿Cual es la marca del codigo 1401?,marca,codigo,1401
888,¿Cual es la marca del codigo 10797?,marca,codigo,10797
889,¿Cual es  el stock del codigo 16370?,stock,codigo,16370
890,¿Cual es  el stock del codigo 20748?,stock,codigo,20748
891,¿Cuáles son las marcas del negocio ZX?,marca,negocio,ZX
892,¿Cual es la marca del codigo 19089?,marca,codigo,19089
893,¿Cual es la marca del codigo 17904?,marca,codigo,17904
894,¿Cuáles son el negocio del codigo 23109?,negocio,codigo,23109
895,¿Cuáles son el negocio del codigo 19403?,negocio,codigo,19403
896,¿Cuáles son el negocio del codigo 14625?,negocio,codigo,14625
897,¿Cuáles son  los stocks del calibre 210?,stock,calibre,210
898,¿Cual es la marca del codigo 15233?,marca,codigo,15233
899,¿Cuáles son el negocio del codigo 19110?,negocio,codigo,19110
900,¿Cuáles son el negocio del codigo 1106?,negocio,codigo,1106
901,¿Cuáles son  los stocks de la marca patagonia?,stock,marca,patagonia
902,¿Cual es  el calibre del codigo 734?,calibre,codigo,734
903,¿Cual es  el calibre del codigo 19262?,calibre,codigo,19262
904,¿Cuáles son el negocio del codigo 21856?,negocio,codigo,21856
905,¿Cual es  el stock del codigo 1483?,stock,codigo,1483
906,¿Cual es la marca del codigo 7025?,marca,codigo,7025
907,¿Cual es la marca del codigo 22505?,marca,codigo,22505
908,¿Cual es  el calibre del codigo 14221?,calibre,codigo,14221
909,¿Cual es  el stock del codigo 19279?,stock,codigo,19279
910,¿Cual es  el stock del codigo 14902?,stock,codigo,14902
911,¿Cual es  el stock del codigo 22055?,stock,codigo,22055
912,¿Cual es la marca del codigo 13227?,marca,codigo,13227
913,¿Cual es  el stock del codigo 16936?,stock,codigo,16936
914,¿Cual es la marca del codigo 7606?,marca,codigo,7606
915,¿Cuáles son el negocio del codigo 22293?,negocio,codigo,22293
916,¿Cual es  el stock del codigo 6982?,stock,codigo,6982
917,¿Cuáles son  los stocks de la marca goose island?,stock,marca,goose island
918,¿Cual es  el calibre del codigo 16936?,calibre,codigo,16936
919,¿Cual es el negocio de la marca patagonia kune?,negocio,marca,patagonia kune
920,¿Cual es la marca del codigo 22435?,marca,codigo,22435
921,¿Cuáles son el negocio del codigo 22459?,negocio,codigo,22459
922,¿Cuáles son el negocio del codigo 21916?,negocio,codigo,21916
923,¿Cuáles son el negocio del codigo 18570?,negocio,codigo,18570
924,¿Cual es  el stock del codigo 24376?,stock,codigo,24376
925,¿Cual es el negocio de la marca pat sendero?,negocio,marca,pat sendero
926,¿Cual es  el calibre del codigo 1423?,calibre,codigo,1423
927,¿Cual es la marca del codigo 18358?,marca,codigo,18358
928,¿Cual es la marca del codigo 14510?,marca,codigo,14510
929,¿Cuáles son el negocio del codigo 19280?,negocio,codigo,19280
930,¿Cuáles son  los stocks de la marca Gancia?,stock,marca,Gancia
931,¿Cuáles son  los stocks de la marca corona?,stock,marca,corona
932,¿Cual es  el calibre del codigo 21474?,calibre,codigo,21474
933,¿Cuáles son el negocio del codigo 8115?,negocio,codigo,8115
934,¿Cual es la marca del codigo 7466?,marca,codigo,7466
935,¿Cual es  el calibre del codigo 2569?,calibre,codigo,2569
936,¿Cual es  el calibre del codigo 22173?,calibre,codigo,22173
937,¿Cuáles son  los stocks de la marca andes origen negra?,stock,marca,andes origen negra
938,¿Cual es la marca del codigo 10562?,marca,codigo,10562
939,¿Cuáles son el negocio del codigo 1648?,negocio,codigo,1648
940,¿Cual es la marca del codigo 23286?,marca,codigo,23286
941,¿Cuáles son  los calibres de la marca petit?,calibre,marca,petit
942,¿Cual es  el stock del codigo 22382?,stock,codigo,22382
943,¿Cual es la marca del codigo 12204?,marca,codigo,12204
944,¿Cual es  el stock del codigo 1560?,stock,codigo,1560
945,¿Cual es  el calibre del codigo 21473?,calibre,codigo,21473
946,¿Cuáles son el negocio del codigo 1948?,negocio,codigo,1948
947,¿Cuáles son  los calibres de la marca andes origen ipa?,calibre,marca,andes origen ipa
948,¿Cual es  el calibre del codigo 16372?,calibre,codigo,16372
949,¿Cuáles son el negocio del codigo 13222?,negocio,codigo,13222
950,¿Cual es  el calibre del codigo 1475?,calibre,codigo,1475
951,¿Cuáles son el negocio del codigo 22617?,negocio,codigo,22617
952,¿Cual es la marca del codigo 14995?,marca,codigo,14995
953,¿Cual es la marca del codigo 5406?,marca,codigo,5406
954,¿Cual es  el calibre del codigo 640?,calibre,codigo,640
955,¿Cuáles son el negocio del codigo 8230?,negocio,codigo,8230
956,¿Cual es el negocio de la marca lowenbrau?,negocio,marca,lowenbrau
957,¿Cual es  el stock del codigo 7490?,stock,codigo,7490
958,¿Cual es  el stock del codigo 8125?,stock,codigo,8125
959,¿Cual es  el calibre del codigo 737?,calibre,codigo,737
960,¿Cual es  el calibre del codigo 16528?,calibre,codigo,16528
961,¿Cual es la marca del codigo 7017?,marca,codigo,7017
962,¿Cual es  el calibre del codigo 20634?,calibre,codigo,20634
963,¿Cual es  el stock del codigo 22504?,stock,codigo,22504
964,¿Cual es  el calibre del codigo 22326?,calibre,codigo,22326
965,¿Cuáles son  los codigos de la marca novecento?,codigo,marca,novecento
966,¿Cual es  el calibre del codigo 18592?,calibre,codigo,18592
967,¿Cual es  el calibre del codigo 76447?,calibre,codigo,76447
968,¿Cual es  el calibre del codigo 22994?,calibre,codigo,22994
969,¿Cual es  el stock del codigo 22473?,stock,codigo,22473
970,¿Cuáles son  los calibres de la marca Gancia?,calibre,marca,Gancia
971,¿Cual es la marca del codigo 1370?,marca,codigo,1370
972,¿Cuáles son el negocio del codigo 14512?,negocio,codigo,14512
973,¿Cual es la marca del codigo 641?,marca,codigo,641
974,¿Cuáles son el negocio del codigo 19980?,negocio,codigo,19980
975,¿Cuáles son  los calibres de la marca patagonia porter?,calibre,marca,patagonia porter
976,¿Cuáles son  los codigos del calibre 410?,codigo,calibre,410
977,¿Cuáles son  los stocks de la marca patagonia vera ipa?,stock,marca,patagonia vera ipa
978,¿Cual es el negocio de la marca leffe?,negocio,marca,leffe
979,¿Cual es  el stock del codigo 8101?,stock,codigo,8101
980,¿Cual es la marca del codigo 19259?,marca,codigo,19259
981,¿Cual es la marca del codigo 15588?,marca,codigo,15588
982,¿Cual es  el calibre del codigo 7468?,calibre,codigo,7468
983,¿Cual es  el stock del codigo 21777?,stock,codigo,21777
984,¿Cuáles son el negocio del codigo 10557?,negocio,codigo,10557
985,¿Cual es  el stock del codigo 11833?,stock,codigo,11833
986,¿Cuáles son el negocio del codigo 8125?,negocio,codigo,8125
987,¿Cual es la marca del codigo 5413?,marca,codigo,5413
988,¿Cual es  el stock del codigo 22500?,stock,codigo,22500
989,¿Cual es  el stock del codigo 22484?,stock,codigo,22484
990,¿Cual es la marca del codigo 7615?,marca,codigo,7615
991,¿Cuáles son el negocio del codigo 667?,negocio,codigo,667
992,¿Cual es  el calibre del codigo 870?,calibre,codigo,870
993,¿Cual es  el stock del codigo 7182?,stock,codigo,7182
994,¿Cuáles son las marcas del calibre 710?,marca,calibre,710
995,¿Cual es la marca del codigo 16137?,marca,codigo,16137
996,¿Cual es  el calibre del codigo 76446?,calibre,codigo,76446
997,¿Cuáles son las marcas del calibre 410?,marca,calibre,410
998,¿Cual es  el stock del codigo 23061?,stock,codigo,23061
999,¿Cual es  el calibre del codigo 17922?,calibre,codigo,17922
1000,¿Cuáles son el negocio del codigo 17992?,negocio,codigo,17992
1001,¿Cual es  el stock del codigo 18682?,stock,codigo,18682
1002,¿Cual es  el calibre del codigo 18745?,calibre,codigo,18745
1003,¿Cuáles son el negocio del codigo 13499?,negocio,codigo,13499
1004,¿Cual es  el stock del codigo 22496?,stock,codigo,22496
1005,¿Cual es la marca del codigo 1106?,marca,codigo,1106
1006,¿Cual es  el calibre del codigo 8081?,calibre,codigo,8081
1007,¿Cual es la marca del codigo 8413?,marca,codigo,8413
1008,¿Cual es  el calibre del codigo 23287?,calibre,codigo,23287
1009,¿Cuáles son el negocio del codigo 62?,negocio,codigo,62
1010,¿Cual es la marca del codigo 13059?,marca,codigo,13059
1011,¿Cuáles son el negocio del codigo 25120?,negocio,codigo,25120
1012,¿Cual es  el calibre del codigo 993?,calibre,codigo,993
1013,¿Cuáles son  los calibres de la marca red bull?,calibre,marca,red bull
1014,¿Cuáles son  los codigos del calibre 2250 reco?,codigo,calibre,2250 reco
1015,¿Cual es la marca del codigo 22293?,marca,codigo,22293
1016,¿Cual es  el stock del codigo 24168?,stock,codigo,24168
1017,¿Cual es la marca del codigo 20990?,marca,codigo,20990
1018,¿Cuáles son el negocio del codigo 21810?,negocio,codigo,21810
1019,¿Cuáles son  los calibres de la marca patagonia kune?,calibre,marca,patagonia kune
1020,¿Cual es  el stock del codigo 19980?,stock,codigo,19980
1021,¿Cual es  el stock del codigo 11880?,stock,codigo,11880
1022,¿Cual es  el calibre del codigo 20404?,calibre,codigo,20404
1023,¿Cual es la marca del codigo 16313?,marca,codigo,16313
1024,¿Cual es  el stock del codigo 21970?,stock,codigo,21970
1025,¿Cual es  el calibre del codigo 13953?,calibre,codigo,13953
1026,¿Cual es  el calibre del codigo 2654?,calibre,codigo,2654
1027,¿Cuáles son el negocio del codigo 22498?,negocio,codigo,22498
1028,¿Cuáles son el negocio del codigo 22438?,negocio,codigo,22438
1029,¿Cuáles son  los stocks de la marca patagonia bohemian pilsener?,stock,marca,patagonia bohemian pilsener
1030,¿Cuáles son el negocio del codigo 76344?,negocio,codigo,76344
1031,¿Cual es  el stock del codigo 11858?,stock,codigo,11858
1032,¿Cual es  el stock del codigo 2819?,stock,codigo,2819
1033,¿Cual es  el calibre del codigo 22442?,calibre,codigo,22442
1034,¿Cual es  el stock del codigo 737?,stock,codigo,737
1035,¿Cual es la marca del codigo 23319?,marca,codigo,23319
1036,¿Cuáles son  los stocks del calibre 354?,stock,calibre,354
1037,¿Cual es  el calibre del codigo 5322?,calibre,codigo,5322
1038,¿Cual es  el calibre del codigo 21579?,calibre,codigo,21579
1039,¿Cual es  el stock del codigo 24875?,stock,codigo,24875
1040,¿Cual es  el calibre del codigo 24226?,calibre,codigo,24226
1041,¿Cuáles son el negocio del codigo 474?,negocio,codigo,474
1042,¿Cual es  el stock del codigo 13410?,stock,codigo,13410
1043,¿Cual es la marca del codigo 1411?,marca,codigo,1411
1044,¿Cual es  el calibre del codigo 8401?,calibre,codigo,8401
1045,¿Cuáles son el negocio del codigo 15240?,negocio,codigo,15240
1046,¿Cuáles son  los codigos del calibre 2000?,codigo,calibre,2000
1047,¿Cuáles son el negocio del codigo 1426?,negocio,codigo,1426
1048,¿Cual es la marca del codigo 22525?,marca,codigo,22525
1049,¿Cual es la marca del codigo 24253?,marca,codigo,24253
1050,¿Cual es la marca del codigo 7174?,marca,codigo,7174
1051,¿Cuáles son el negocio del codigo 1495?,negocio,codigo,1495
1052,¿Cual es  el stock del codigo 8409?,stock,codigo,8409
1053,¿Cual es  el stock del codigo 19026?,stock,codigo,19026
1054,¿Cuáles son el negocio del codigo 22294?,negocio,codigo,22294
1055,¿Cuáles son  los codigos del calibre 355?,codigo,calibre,355
1056,¿Cuáles son el negocio del calibre 995?,negocio,calibre,995
1057,¿Cual es  el stock del codigo 21864?,stock,codigo,21864
1058,¿Cuáles son el negocio del codigo 24878?,negocio,codigo,24878
1059,¿Cual es la marca del codigo 10971?,marca,codigo,10971
1060,¿Cual es la marca del codigo 7139?,marca,codigo,7139
1061,¿Cuáles son el negocio del codigo 8067?,negocio,codigo,8067
1062,¿Cual es la marca del codigo 23106?,marca,codigo,23106
1063,¿Cual es  el calibre del codigo 22589?,calibre,codigo,22589
1064,¿Cuáles son el negocio del codigo 7650?,negocio,codigo,7650
1065,¿Cuáles son  los stocks de la marca temple honey?,stock,marca,temple honey
1066,¿Cual es la marca del codigo 22619?,marca,codigo,22619
1067,¿Cual es  el calibre del codigo 10796?,calibre,codigo,10796
1068,¿Cuáles son el negocio del codigo 12165?,negocio,codigo,12165
1069,¿Cuáles son el negocio del codigo 19533?,negocio,codigo,19533
1070,¿Cuáles son el negocio del codigo 819?,negocio,codigo,819
1071,¿Cual es  el calibre del codigo 24639?,calibre,codigo,24639
1072,¿Cual es  el calibre del codigo 2583?,calibre,codigo,2583
1073,¿Cuáles son el negocio del codigo 10700?,negocio,codigo,10700
1074,¿Cuáles son el negocio del codigo 20383?,negocio,codigo,20383
1075,¿Cuáles son el negocio del codigo 20404?,negocio,codigo,20404
1076,¿Cual es la marca del codigo 2898?,marca,codigo,2898
1077,¿Cual es el negocio de la marca quilmes o.0%?,negocio,marca,quilmes o.0%
1078,¿Cual es  el calibre del codigo 5250?,calibre,codigo,5250
1079,¿Cual es la marca del codigo 22063?,marca,codigo,22063
1080,¿Cual es  el stock del codigo 19856?,stock,codigo,19856
1081,¿Cuáles son  los codigos del calibre 740?,codigo,calibre,740
1082,¿Cual es  el calibre del codigo 22059?,calibre,codigo,22059
1083,¿Cual es  el calibre del codigo 12202?,calibre,codigo,12202
1084,¿Cuáles son el negocio del codigo 21013?,negocio,codigo,21013
1085,¿Cuáles son el negocio del codigo 19259?,negocio,codigo,19259
1086,¿Cuáles son el negocio del codigo 14191?,negocio,codigo,14191
1087,¿Cual es la marca del codigo 8064?,marca,codigo,8064
1088,¿Cual es la marca del codigo 19365?,marca,codigo,19365
1089,¿Cuáles son el negocio del codigo 14190?,negocio,codigo,14190
1090,¿Cual es  el stock del codigo 8067?,stock,codigo,8067
1091,¿Cuáles son el negocio del codigo 24092?,negocio,codigo,24092
1092,¿Cuáles son el negocio del codigo 17091?,negocio,codigo,17091
1093,¿Cuáles son el negocio del codigo 22587?,negocio,codigo,22587
1094,¿Cual es la marca del codigo 20634?,marca,codigo,20634
1095,¿Cual es  el stock del codigo 17637?,stock,codigo,17637
1096,¿Cual es  el calibre del codigo 22588?,calibre,codigo,22588
1097,¿Cuáles son el negocio del codigo 11755?,negocio,codigo,11755
1098,¿Cuáles son el negocio del codigo 22055?,negocio,codigo,22055
1099,¿Cual es  el calibre del codigo 22453?,calibre,codigo,22453
1100,¿Cual es el negocio de la marca LIEBER?,negocio,marca,LIEBER
1101,¿Cuáles son  los codigos de la marca patagonia kune?,codigo,marca,patagonia kune
1102,¿Cual es  el calibre del codigo 22476?,calibre,codigo,22476
1103,¿Cual es  el calibre del codigo 23110?,calibre,codigo,23110
1104,¿Cuáles son el negocio del codigo 22464?,negocio,codigo,22464
1105,¿Cual es  el stock del codigo 2556?,stock,codigo,2556
1106,¿Cual es  el calibre del codigo 23232?,calibre,codigo,23232
1107,¿Cual es la marca del codigo 23903?,marca,codigo,23903
1108,¿Cual es  el stock del codigo 20991?,stock,codigo,20991
1109,¿Cual es  el stock del codigo 946?,stock,codigo,946
1110,¿Cual es  el stock del codigo 2828?,stock,codigo,2828
1111,¿Cual es la marca del codigo 7693?,marca,codigo,7693
1112,¿Cual es la marca del codigo 17922?,marca,codigo,17922
1113,¿Cuáles son el negocio del codigo 14234?,negocio,codigo,14234
1114,¿Cuáles son  los codigos de la marca goose island?,codigo,marca,goose island
1115,¿Cuáles son el negocio del codigo 1483?,negocio,codigo,1483
1116,¿Cuáles son el negocio del codigo 19337?,negocio,codigo,19337
1117,¿Cuáles son el negocio del codigo 22435?,negocio,codigo,22435
1118,¿Cuáles son  los stocks del calibre 10 l?,stock,calibre,10 l
1119,¿Cual es  el stock del codigo 1462?,stock,codigo,1462
1120,¿Cual es  el stock del codigo 14511?,stock,codigo,14511
1121,¿Cual es la marca del codigo 10703?,marca,codigo,10703
1122,¿Cual es la marca del codigo 22468?,marca,codigo,22468
1123,¿Cual es la marca del codigo 19260?,marca,codigo,19260
1124,¿Cual es  el calibre del codigo 823?,calibre,codigo,823
1125,¿Cuáles son  los stocks del calibre 1500?,stock,calibre,1500
1126,¿Cuáles son  los codigos de la marca bbc?,codigo,marca,bbc
1127,¿Cual es  el calibre del codigo 11065?,calibre,codigo,11065
1128,¿Cual es  el calibre del codigo 138?,calibre,codigo,138
1129,¿Cual es  el calibre del codigo 19498?,calibre,codigo,19498
1130,¿Cual es  el calibre del codigo 11743?,calibre,codigo,11743
1131,¿Cual es la marca del codigo 16618?,marca,codigo,16618
1132,¿Cuáles son las marcas del calibre 500?,marca,calibre,500
1133,¿Cuáles son el negocio del codigo 2898?,negocio,codigo,2898
1134,¿Cuáles son el negocio del codigo 826?,negocio,codigo,826
1135,¿Cual es la marca del codigo 21018?,marca,codigo,21018
1136,¿Cual es la marca del codigo 20446?,marca,codigo,20446
1137,¿Cuáles son el negocio del codigo 2555?,negocio,codigo,2555
1138,¿Cual es  el stock del codigo 21919?,stock,codigo,21919
1139,¿Cuáles son el negocio del codigo 19725?,negocio,codigo,19725
1140,¿Cual es  el calibre del codigo 14196?,calibre,codigo,14196
1141,¿Cuáles son el negocio del codigo 19662?,negocio,codigo,19662
1142,¿Cual es la marca del codigo 14221?,marca,codigo,14221
1143,¿Cuáles son el negocio del codigo 12738?,negocio,codigo,12738
1144,¿Cual es  el stock del codigo 10700?,stock,codigo,10700
1145,¿Cual es la marca del codigo 14744?,marca,codigo,14744
1146,¿Cuáles son el negocio del codigo 18746?,negocio,codigo,18746
1147,¿Cual es  el stock del codigo 7658?,stock,codigo,7658
1148,¿Cual es  el stock del codigo 7610?,stock,codigo,7610
1149,¿Cual es  el stock del codigo 22454?,stock,codigo,22454
1150,¿Cual es  el calibre del codigo 22058?,calibre,codigo,22058
1151,¿Cual es  el stock del codigo 19087?,stock,codigo,19087
1152,¿Cual es la marca del codigo 23287?,marca,codigo,23287
1153,¿Cuáles son el negocio del codigo 824?,negocio,codigo,824
1154,¿Cual es  el calibre del codigo 62112?,calibre,codigo,62112
1155,¿Cual es el negocio de la marca skol?,negocio,marca,skol
1156,¿Cual es  el calibre del codigo 19372?,calibre,codigo,19372
1157,¿Cuáles son el negocio del codigo 5697?,negocio,codigo,5697
1158,¿Cual es la marca del codigo 15234?,marca,codigo,15234
1159,¿Cual es  el stock del codigo 19661?,stock,codigo,19661
1160,¿Cual es  el stock del codigo 2190?,stock,codigo,2190
1161,¿Cual es  el stock del codigo 11065?,stock,codigo,11065
1162,¿Cuáles son el negocio del codigo 132?,negocio,codigo,132
1163,¿Cual es  el calibre del codigo 11940?,calibre,codigo,11940
1164,¿Cual es  el calibre del codigo 946?,calibre,codigo,946
1165,¿Cual es  el stock del codigo 22365?,stock,codigo,22365
1166,¿Cual es la marca del codigo 22334?,marca,codigo,22334
1167,¿Cual es la marca del codigo 24685?,marca,codigo,24685
1168,¿Cuáles son el negocio del codigo 19496?,negocio,codigo,19496
1169,¿Cual es  el calibre del codigo 22992?,calibre,codigo,22992
1170,¿Cuáles son el negocio del codigo 2859?,negocio,codigo,2859
1171,¿Cuáles son  los calibres de la marca negra modelo?,calibre,marca,negra modelo
1172,¿Cual es  el calibre del codigo 11035?,calibre,codigo,11035
1173,¿Cual es la marca del codigo 5954?,marca,codigo,5954
1174,¿Cuáles son el negocio del codigo 17953?,negocio,codigo,17953
1175,¿Cual es  el calibre del codigo 12723?,calibre,codigo,12723
1176,¿Cual es la marca del codigo 13502?,marca,codigo,13502
1177,¿Cuáles son el negocio del codigo 19339?,negocio,codigo,19339
1178,¿Cual es la marca del codigo 18571?,marca,codigo,18571
1179,¿Cuáles son las marcas del negocio UNG?,marca,negocio,UNG
1180,¿Cual es  el calibre del codigo 13630?,calibre,codigo,13630
1181,¿Cuáles son el negocio del calibre 1000  tetra?,negocio,calibre,1000  tetra
1182,¿Cual es la marca del codigo 7476?,marca,codigo,7476
1183,¿Cual es la marca del codigo 7985?,marca,codigo,7985
1184,¿Cuáles son el negocio del codigo 22609?,negocio,codigo,22609
1185,¿Cual es  el stock del codigo 22695?,stock,codigo,22695
1186,¿Cuáles son  los codigos de la marca LIEBER?,codigo,marca,LIEBER
