,prompts,outputs_tags,tags,values,tags2,values2
1707,¿Cuáles son las marcas del calibre 1500?,marca,calibre,1500,,
1708,¿Cual es  el stock del codigo 19111?,stock,codigo,19111,,
1709,¿Cuáles son el negocio del codigo 20360?,negocio,codigo,20360,,
1710,¿Cuáles son el negocio del codigo 19262?,negocio,codigo,19262,,
1711,¿Cuáles son  los codigos de la leffe 950?,codigo,marca,leffe,calibre,950
1712,¿Cuáles son el negocio del codigo 7035?,negocio,codigo,7035,,
1713,¿Cuáles son  los codigos de la red bull 2450?,codigo,marca,red bull,calibre,2450
1714,¿Cuáles son  los stocks del calibre 710?,stock,calibre,710,,
1715,¿Cual es  el calibre del codigo 22589?,calibre,codigo,22589,,
1716,¿Cual es la marca del codigo 13?,marca,codigo,13,,
1717,¿Cuáles son el negocio del codigo 2903?,negocio,codigo,2903,,
1718,¿Cual es  el stock del codigo 19368?,stock,codigo,19368,,
1719,¿Cual es  el stock del codigo 281?,stock,codigo,281,,
1720,¿Cual es  el calibre del codigo 22334?,calibre,codigo,22334,,
1721,¿Cual es  el stock del codigo 7633?,stock,codigo,7633,,
1722,¿Cual es la marca del codigo 1426?,marca,codigo,1426,,
1723,¿Cual es la marca del codigo 5403?,marca,codigo,5403,,
1724,¿Cuáles son el negocio del codigo 11070?,negocio,codigo,11070,,
1725,¿Cual es la marca del codigo 12588?,marca,codigo,12588,,
1726,¿Cuáles son el negocio del codigo 19087?,negocio,codigo,19087,,
1727,¿Cual es el negocio de la marca stella artois noire?,negocio,marca,stella artois noire,,
1728,¿Cuáles son  los stocks de la petit 20 l barril?,stock,marca,petit,calibre,20 l barril
1729,¿Cual es la marca del codigo 19587?,marca,codigo,19587,,
1730,¿Cuáles son  los stocks de la andes 330 s/r?,stock,marca,andes,calibre,330 s/r
1731,¿Cuáles son  los codigos del calibre 355?,codigo,calibre,355,,
1732,¿Cuáles son el negocio del codigo 14102?,negocio,codigo,14102,,
1733,¿Cual es la marca del codigo 1433?,marca,codigo,1433,,
1734,¿Cual es la marca del codigo 22055?,marca,codigo,22055,,
1735,¿Cual es la marca del codigo 2110?,marca,codigo,2110,,
1736,¿Cuáles son  los stocks de la quilmes bajo cero 10 l?,stock,marca,quilmes bajo cero,calibre,10 l
1737,¿Cual es  el calibre del codigo 17953?,calibre,codigo,17953,,
1738,¿Cuáles son  los stocks de la brahma 330?,stock,marca,brahma,calibre,330
1739,¿Cual es la marca del codigo 18593?,marca,codigo,18593,,
1740,¿Cual es la marca del codigo 17637?,marca,codigo,17637,,
1741,¿Cual es la marca del codigo 1606?,marca,codigo,1606,,
1742,¿Cual es la marca del codigo 21810?,marca,codigo,21810,,
1743,¿Cuáles son  los stocks de la quilmes 2450?,stock,marca,quilmes,calibre,2450
1744,¿Cuáles son  los stocks de la ao miel 710?,stock,marca,ao miel,calibre,710
1745,¿Cual es la marca del codigo 21917?,marca,codigo,21917,,
1746,¿Cuáles son  los codigos de la patagonia kune 50 l barril?,codigo,marca,patagonia kune,calibre,50 l barril
1747,¿Cuáles son  los codigos de la budweiser 410?,codigo,marca,budweiser,calibre,410
1748,¿Cuáles son el negocio del calibre 995?,negocio,calibre,995,,
1749,¿Cual es la marca del codigo 15589?,marca,codigo,15589,,
1750,¿Cual es la marca del codigo 22504?,marca,codigo,22504,,
1751,¿Cuáles son el negocio del codigo 21966?,negocio,codigo,21966,,
1752,¿Cual es  el calibre del codigo 21777?,calibre,codigo,21777,,
1753,¿Cual es  el calibre del codigo 5741?,calibre,codigo,5741,,
1754,¿Cuáles son el negocio del codigo 22334?,negocio,codigo,22334,,
1755,¿Cual es la marca del codigo 132?,marca,codigo,132,,
1756,¿Cual es  el stock del codigo 2449?,stock,codigo,2449,,
1757,¿Cual es el negocio de la marca budweiser?,negocio,marca,budweiser,,
1758,¿Cual es la marca del codigo 17994?,marca,codigo,17994,,
1759,¿Cuáles son  los codigos de la corona 1250?,codigo,marca,corona,calibre,1250
1760,¿Cuáles son  los codigos de la eco de los andes 1250 reco?,codigo,marca,eco de los andes,calibre,1250 reco
1761,¿Cual es la marca del codigo 12738?,marca,codigo,12738,,
1762,¿Cual es  el stock del codigo 22320?,stock,codigo,22320,,
1763,¿Cuáles son  los codigos de la patagonia bohemian pilsener 355 botella?,codigo,marca,patagonia bohemian pilsener,calibre,355 botella
1764,¿Cuáles son  los stocks de la temple scotish 750?,stock,marca,temple scotish,calibre,750
1765,¿Cuáles son  los stocks de la quilmes red lager 995?,stock,marca,quilmes red lager,calibre,995
1766,¿Cual es el negocio de la marca stella artois?,negocio,marca,stella artois,,
1767,¿Cual es  el stock del codigo 2157?,stock,codigo,2157,,
1768,¿Cual es  el stock del codigo 8081?,stock,codigo,8081,,
1769,¿Cual es el negocio de la marca patagonia porter?,negocio,marca,patagonia porter,,
1770,¿Cuáles son  los stocks de la marca paso de los toros?,stock,marca,paso de los toros,,
1771,¿Cuáles son  los codigos de la corona 1650?,codigo,marca,corona,calibre,1650
1772,¿Cual es  el stock del codigo 22608?,stock,codigo,22608,,
1773,¿Cual es  el stock del codigo 18377?,stock,codigo,18377,,
1774,¿Cual es la marca del codigo 14744?,marca,codigo,14744,,
1775,¿Cual es  el stock del codigo 1637?,stock,codigo,1637,,
1776,¿Cual es  el calibre del codigo 21929?,calibre,codigo,21929,,
1777,¿Cual es  el stock del codigo 16951?,stock,codigo,16951,,
1778,¿Cual es  el calibre del codigo 16529?,calibre,codigo,16529,,
1779,¿Cuáles son  los codigos de la 7 up 995?,codigo,marca,7 up,calibre,995
1780,¿Cual es  el stock del codigo 22619?,stock,codigo,22619,,
1781,¿Cual es  el stock del codigo 5875?,stock,codigo,5875,,
1782,¿Cuáles son el negocio del codigo 22459?,negocio,codigo,22459,,
1783,¿Cual es  el calibre del codigo 16811?,calibre,codigo,16811,,
1784,¿Cuáles son el negocio del codigo 11065?,negocio,codigo,11065,,
1785,¿Cuáles son  los stocks de la pepsi 740?,stock,marca,pepsi,calibre,740
1786,¿Cuáles son  los codigos de la marca pinta de la paz?,codigo,marca,pinta de la paz,,
1787,¿Cual es la marca del codigo 21473?,marca,codigo,21473,,
1788,¿Cual es  el stock del codigo 12067?,stock,codigo,12067,,
1789,¿Cuáles son  los codigos de la petit 473?,codigo,marca,petit,calibre,473
1790,¿Cuáles son el negocio del codigo 474?,negocio,codigo,474,,
1791,¿Cual es  el calibre del codigo 61676?,calibre,codigo,61676,,
1792,¿Cuáles son  los codigos de la petit 1500?,codigo,marca,petit,calibre,1500
1793,¿Cuáles son  los stocks de la stella artois noire 330 s/r?,stock,marca,stella artois noire,calibre,330 s/r
1794,¿Cual es la marca del codigo 24598?,marca,codigo,24598,,
1795,¿Cuáles son el negocio del codigo 8401?,negocio,codigo,8401,,
1796,¿Cuáles son el negocio del codigo 22439?,negocio,codigo,22439,,
1797,¿Cual es la marca del codigo 8?,marca,codigo,8,,
1798,¿Cuáles son  los codigos de la corona 355 lata?,codigo,marca,corona,calibre,355 lata
1799,¿Cuáles son  los codigos de la quilmes 2000?,codigo,marca,quilmes,calibre,2000
1800,¿Cuáles son el negocio del calibre barril 10 l?,negocio,calibre,barril 10 l,,
1801,¿Cuáles son  los stocks del calibre 1250?,stock,calibre,1250,,
1802,¿Cual es  el stock del codigo 16225?,stock,codigo,16225,,
1803,¿Cual es  el stock del codigo 22365?,stock,codigo,22365,,
1804,¿Cuáles son  los stocks de la bock quilmes 740?,stock,marca,bock quilmes,calibre,740
1805,¿Cuáles son  los codigos de la marca biografia?,codigo,marca,biografia,,
1806,¿Cual es la marca del codigo 16951?,marca,codigo,16951,,
1807,¿Cuáles son  los stocks de la andes 473?,stock,marca,andes,calibre,473
1808,¿Cuáles son  los codigos de la iguana 410?,codigo,marca,iguana,calibre,410
1809,¿Cuáles son  los codigos de la paso de los toros 30 l?,codigo,marca,paso de los toros,calibre,30 l
1810,¿Cuáles son las marcas del calibre 750?,marca,calibre,750,,
1811,¿Cual es la marca del codigo 2438?,marca,codigo,2438,,
1812,¿Cual es  el stock del codigo 2202?,stock,codigo,2202,,
1813,¿Cual es  el calibre del codigo 22463?,calibre,codigo,22463,,
1814,¿Cuáles son el negocio del codigo 12204?,negocio,codigo,12204,,
1815,¿Cual es  el stock del codigo 22459?,stock,codigo,22459,,
1816,¿Cuáles son el negocio del codigo 14095?,negocio,codigo,14095,,
1817,¿Cuáles son  los stocks de la pepsi 3000?,stock,marca,pepsi,calibre,3000
1818,¿Cuáles son el negocio del codigo 22058?,negocio,codigo,22058,,
1819,¿Cuáles son  los codigos de la 7 up 269?,codigo,marca,7 up,calibre,269
1820,¿Cuáles son  los codigos de la patagonia ipa 950?,codigo,marca,patagonia ipa,calibre,950
1821,¿Cuáles son  los codigos de la andes origen rubia 473?,codigo,marca,andes origen rubia,calibre,473
1822,¿Cuáles son  los calibres de la marca quilmes 0.0%?,calibre,marca,quilmes 0.0%,,
1823,¿Cuáles son el negocio del codigo 21777?,negocio,codigo,21777,,
1824,¿Cual es  el calibre del codigo 15159?,calibre,codigo,15159,,
1825,¿Cuáles son  los codigos de la andes origen rubia 250?,codigo,marca,andes origen rubia,calibre,250
1826,¿Cual es la marca del codigo 19569?,marca,codigo,19569,,
1827,¿Cual es  el calibre del codigo 21921?,calibre,codigo,21921,,
1828,¿Cual es  el calibre del codigo 24075?,calibre,codigo,24075,,
1829,¿Cuáles son  los stocks de la mirinda 355 lata?,stock,marca,mirinda,calibre,355 lata
1830,¿Cual es  el stock del codigo 22502?,stock,codigo,22502,,
1831,¿Cual es la marca del codigo 22334?,marca,codigo,22334,,
1832,¿Cuáles son  los codigos de la eco de los andes 250?,codigo,marca,eco de los andes,calibre,250
1833,¿Cuáles son  los codigos de la bock quilmes 1650?,codigo,marca,bock quilmes,calibre,1650
1834,¿Cuáles son las marcas del negocio HECO?,marca,negocio,HECO,,
1835,¿Cual es  el stock del codigo 19260?,stock,codigo,19260,,
1836,¿Cual es  el stock del codigo 7468?,stock,codigo,7468,,
1837,¿Cual es  el calibre del codigo 353?,calibre,codigo,353,,
1838,¿Cuáles son  los codigos de la novecento 50 l?,codigo,marca,novecento,calibre,50 l
1839,¿Cuáles son el negocio del codigo 21293?,negocio,codigo,21293,,
1840,¿Cual es  el calibre del codigo 5483?,calibre,codigo,5483,,
1841,¿Cual es  el stock del codigo 16313?,stock,codigo,16313,,
1842,¿Cuáles son  los codigos de la paso de los toros 1200?,codigo,marca,paso de los toros,calibre,1200
1843,¿Cual es  el stock del codigo 21049?,stock,codigo,21049,,
1844,¿Cuáles son  los codigos de la 7 up 700?,codigo,marca,7 up,calibre,700
1845,¿Cual es  el stock del codigo 11858?,stock,codigo,11858,,
1846,¿Cual es la marca del codigo 16225?,marca,codigo,16225,,
1847,¿Cuáles son el negocio del codigo 17922?,negocio,codigo,17922,,
1848,¿Cuáles son el negocio del codigo 21579?,negocio,codigo,21579,,
1849,¿Cual es  el stock del codigo 8067?,stock,codigo,8067,,
1850,¿Cuáles son el negocio del codigo 76376?,negocio,codigo,76376,,
1851,¿Cual es  el stock del codigo 2156?,stock,codigo,2156,,
1852,¿Cual es  el stock del codigo 22275?,stock,codigo,22275,,
1853,¿Cuáles son  los stocks de la glaciar barril 10 l?,stock,marca,glaciar,calibre,barril 10 l
1854,¿Cual es  el stock del codigo 7592?,stock,codigo,7592,,
1855,¿Cuáles son  los calibres de la marca lowenbrau?,calibre,marca,lowenbrau,,
1856,¿Cual es  el stock del codigo 14744?,stock,codigo,14744,,
1857,¿Cuáles son  los codigos de la brahma 1250?,codigo,marca,brahma,calibre,1250
1858,¿Cual es  el stock del codigo 5301?,stock,codigo,5301,,
1859,¿Cuáles son  los codigos de la quilmes 3000?,codigo,marca,quilmes,calibre,3000
1860,¿Cual es la marca del codigo 8411?,marca,codigo,8411,,
1861,¿Cual es  el calibre del codigo 76356?,calibre,codigo,76356,,
1862,¿Cual es  el calibre del codigo 11065?,calibre,codigo,11065,,
1863,¿Cuáles son  los codigos de la quilmes 410?,codigo,marca,quilmes,calibre,410
1864,¿Cuáles son  los stocks de la eco de los andes 2000 reco?,stock,marca,eco de los andes,calibre,2000 reco
1865,¿Cuáles son  los stocks de la temple honey 20 l?,stock,marca,temple honey,calibre,20 l
1866,¿Cuáles son  los stocks de la marca Vermu?,stock,marca,Vermu,,
1867,¿Cual es  el calibre del codigo 22185?,calibre,codigo,22185,,
1868,¿Cual es  el calibre del codigo 138?,calibre,codigo,138,,
1869,¿Cual es la marca del codigo 18745?,marca,codigo,18745,,
1870,¿Cuáles son el negocio del codigo 19366?,negocio,codigo,19366,,
1871,¿Cual es la marca del codigo 22322?,marca,codigo,22322,,
1872,¿Cual es  el calibre del codigo 21972?,calibre,codigo,21972,,
1873,¿Cual es  el calibre del codigo 62112?,calibre,codigo,62112,,
1874,¿Cual es la marca del codigo 22607?,marca,codigo,22607,,
1875,¿Cuáles son  los codigos de la paso de los toros 970?,codigo,marca,paso de los toros,calibre,970
1876,¿Cuáles son el negocio del codigo 10797?,negocio,codigo,10797,,
1877,¿Cual es  el stock del codigo 20995?,stock,codigo,20995,,
1878,¿Cuáles son  los codigos de la stella artois 1500?,codigo,marca,stella artois,calibre,1500
1879,¿Cuáles son el negocio del codigo 22996?,negocio,codigo,22996,,
1880,¿Cual es  el stock del codigo 61677?,stock,codigo,61677,,
1881,¿Cuáles son el negocio del codigo 19496?,negocio,codigo,19496,,
1882,¿Cuáles son el negocio del codigo 20997?,negocio,codigo,20997,,
1883,¿Cuáles son  los stocks de la blasfemia 50 l?,stock,marca,blasfemia,calibre,50 l
1884,¿Cuáles son  los codigos de la pepsi 350?,codigo,marca,pepsi,calibre,350
1885,¿Cuáles son  los codigos de la tratenfu 2000 reco?,codigo,marca,tratenfu,calibre,2000 reco
1886,¿Cuáles son  los stocks de la paso de los toros 50 l?,stock,marca,paso de los toros,calibre,50 l
1887,¿Cuáles son el negocio del codigo 22587?,negocio,codigo,22587,,
1888,¿Cuáles son el negocio del codigo 14995?,negocio,codigo,14995,,
1889,¿Cuáles son el negocio del codigo 18569?,negocio,codigo,18569,,
1890,¿Cual es la marca del codigo 18281?,marca,codigo,18281,,
1891,¿Cuáles son el negocio del codigo 7464?,negocio,codigo,7464,,
1892,¿Cuáles son  los codigos del calibre 269?,codigo,calibre,269,,
1893,¿Cuáles son el negocio del codigo 13499?,negocio,codigo,13499,,
1894,¿Cuáles son el negocio del codigo 22504?,negocio,codigo,22504,,
1895,¿Cuáles son el negocio del codigo 10628?,negocio,codigo,10628,,
1896,¿Cual es la marca del codigo 23417?,marca,codigo,23417,,
1897,¿Cuáles son  los stocks de la marca Campari?,stock,marca,Campari,,
1898,¿Cual es  el calibre del codigo 22319?,calibre,codigo,22319,,
1899,¿Cual es la marca del codigo 14995?,marca,codigo,14995,,
1900,¿Cuáles son  los stocks de la novecento 20 l?,stock,marca,novecento,calibre,20 l
1901,¿Cual es la marca del codigo 2418?,marca,codigo,2418,,
1902,¿Cuáles son  los stocks de la stella artois noire 2250 reco?,stock,marca,stella artois noire,calibre,2250 reco
1903,¿Cual es la marca del codigo 19261?,marca,codigo,19261,,
1904,¿Cuáles son el negocio del codigo 76342?,negocio,codigo,76342,,
1905,¿Cuáles son el negocio del codigo 19532?,negocio,codigo,19532,,
1906,¿Cual es  el stock del codigo 1462?,stock,codigo,1462,,
1907,¿Cuáles son  los codigos de la corona 2250?,codigo,marca,corona,calibre,2250
1908,¿Cuáles son el negocio del codigo 5741?,negocio,codigo,5741,,
1909,¿Cual es  el stock del codigo 20748?,stock,codigo,20748,,
1910,¿Cual es  el stock del codigo 21863?,stock,codigo,21863,,
1911,¿Cuáles son el negocio del codigo 5478?,negocio,codigo,5478,,
1912,¿Cual es  el calibre del codigo 14623?,calibre,codigo,14623,,
1913,¿Cuáles son  los calibres de la marca hanover?,calibre,marca,hanover,,
1914,¿Cual es  el calibre del codigo 822?,calibre,codigo,822,,
1915,¿Cual es  el stock del codigo 21916?,stock,codigo,21916,,
1916,¿Cual es la marca del codigo 23287?,marca,codigo,23287,,
1917,¿Cual es la marca del codigo 640?,marca,codigo,640,,
1918,¿Cual es  el stock del codigo 23318?,stock,codigo,23318,,
1919,¿Cuáles son  los codigos de la leffe barril 10 l?,codigo,marca,leffe,calibre,barril 10 l
1920,¿Cuáles son  los stocks del calibre 340?,stock,calibre,340,,
1921,¿Cual es  el calibre del codigo 10700?,calibre,codigo,10700,,
1922,¿Cuáles son  los stocks de la marca pat sendero?,stock,marca,pat sendero,,
1923,¿Cual es  el calibre del codigo 23232?,calibre,codigo,23232,,
1924,¿Cuáles son  los stocks de la temple honey 2450?,stock,marca,temple honey,calibre,2450
1925,¿Cual es  el stock del codigo 18594?,stock,codigo,18594,,
1926,¿Cual es la marca del codigo 5642?,marca,codigo,5642,,
1927,¿Cual es  el stock del codigo 22472?,stock,codigo,22472,,
1928,¿Cual es la marca del codigo 823?,marca,codigo,823,,
1929,¿Cuáles son  los stocks de la h2oh 2250?,stock,marca,h2oh,calibre,2250
1930,¿Cuáles son  los stocks de la dante 6.3 bidon?,stock,marca,dante,calibre,6.3 bidon
1931,¿Cual es  el calibre del codigo 10711?,calibre,codigo,10711,,
1932,¿Cual es  el stock del codigo 18571?,stock,codigo,18571,,
1933,¿Cuáles son  los stocks de la patagonia bohemian pilsener 950?,stock,marca,patagonia bohemian pilsener,calibre,950
1934,¿Cuáles son el negocio del codigo 24932?,negocio,codigo,24932,,
1935,¿Cual es  el stock del codigo 22339?,stock,codigo,22339,,
1936,¿Cuáles son el negocio del codigo 17517?,negocio,codigo,17517,,
1937,¿Cual es la marca del codigo 18594?,marca,codigo,18594,,
1938,¿Cuáles son  los stocks de la gran dante 970?,stock,marca,gran dante,calibre,970
1939,¿Cuáles son  los codigos de la patagonia vera ipa 740?,codigo,marca,patagonia vera ipa,calibre,740
1940,¿Cuáles son  los codigos de la andes origen negra 1000  tetra?,codigo,marca,andes origen negra,calibre,1000  tetra
1941,¿Cuáles son el negocio del codigo 5697?,negocio,codigo,5697,,
1942,¿Cuáles son  los stocks de la andes origen roja 995?,stock,marca,andes origen roja,calibre,995
1943,¿Cual es la marca del codigo 8064?,marca,codigo,8064,,
1944,¿Cual es  el calibre del codigo 2819?,calibre,codigo,2819,,
1945,¿Cuáles son  los codigos de la marca stella artois noire?,codigo,marca,stella artois noire,,
1946,¿Cual es  el calibre del codigo 20995?,calibre,codigo,20995,,
1947,¿Cual es  el stock del codigo 19339?,stock,codigo,19339,,
1948,¿Cual es  el calibre del codigo 1414?,calibre,codigo,1414,,
1949,¿Cuáles son  los stocks de la 7 up 1000  tetra?,stock,marca,7 up,calibre,1000  tetra
1950,¿Cuáles son el negocio del codigo 6886?,negocio,codigo,6886,,
1951,¿Cual es la marca del codigo 13503?,marca,codigo,13503,,
1952,¿Cual es el negocio de la marca guarana?,negocio,marca,guarana,,
1953,¿Cuáles son el negocio del codigo 21000?,negocio,codigo,21000,,
1954,¿Cual es la marca del codigo 1190?,marca,codigo,1190,,
1955,¿Cuáles son  los codigos de la marca bock quilmes?,codigo,marca,bock quilmes,,
1956,¿Cuáles son  los codigos de la pat sendero 1000?,codigo,marca,pat sendero,calibre,1000
1957,¿Cual es la marca del codigo 18360?,marca,codigo,18360,,
1958,¿Cual es el negocio de la marca lowenbrau?,negocio,marca,lowenbrau,,
1959,¿Cual es  el calibre del codigo 14190?,calibre,codigo,14190,,
1960,¿Cuáles son el negocio del codigo 18561?,negocio,codigo,18561,,
1961,¿Cuáles son  los stocks de la marca patagonia vera ipa?,stock,marca,patagonia vera ipa,,
1962,¿Cual es  el stock del codigo 2654?,stock,codigo,2654,,
1963,¿Cuáles son  los codigos de la ao miel 20 l?,codigo,marca,ao miel,calibre,20 l
1964,¿Cuáles son  los stocks de la iguana 500?,stock,marca,iguana,calibre,500
1965,¿Cuáles son  los codigos de la marca gordons?,codigo,marca,gordons,,
1966,¿Cuáles son  los stocks de la marca bock quilmes?,stock,marca,bock quilmes,,
1967,¿Cual es  el calibre del codigo 8123?,calibre,codigo,8123,,
1968,¿Cuáles son el negocio del codigo 1461?,negocio,codigo,1461,,
1969,¿Cual es  el stock del codigo 18569?,stock,codigo,18569,,
1970,¿Cuáles son el negocio del codigo 22442?,negocio,codigo,22442,,
1971,¿Cuáles son  los stocks de la pepsi 950?,stock,marca,pepsi,calibre,950
1972,¿Cuáles son el negocio del codigo 17952?,negocio,codigo,17952,,
1973,¿Cuáles son el negocio del codigo 627?,negocio,codigo,627,,
1974,¿Cual es la marca del codigo 133?,marca,codigo,133,,
1975,¿Cuáles son el negocio del codigo 22695?,negocio,codigo,22695,,
1976,¿Cual es  el calibre del codigo 19342?,calibre,codigo,19342,,
1977,¿Cual es la marca del codigo 808?,marca,codigo,808,,
1978,¿Cual es  el calibre del codigo 8067?,calibre,codigo,8067,,
1979,¿Cual es  el calibre del codigo 22456?,calibre,codigo,22456,,
1980,¿Cuáles son  los codigos de la patagonia weisse 710?,codigo,marca,patagonia weisse,calibre,710
1981,¿Cual es  el calibre del codigo 20360?,calibre,codigo,20360,,
1982,¿Cuáles son  los stocks de la marca novecento?,stock,marca,novecento,,
1983,¿Cuáles son  los stocks de la blasfemia 350?,stock,marca,blasfemia,calibre,350
1984,¿Cual es  el calibre del codigo 22588?,calibre,codigo,22588,,
1985,¿Cual es  el stock del codigo 819?,stock,codigo,819,,
1986,¿Cual es  el calibre del codigo 21013?,calibre,codigo,21013,,
1987,¿Cuáles son el negocio del codigo 14195?,negocio,codigo,14195,,
1988,¿Cuáles son  los codigos de la paso de los toros 50 l?,codigo,marca,paso de los toros,calibre,50 l
1989,¿Cual es  el stock del codigo 20998?,stock,codigo,20998,,
1990,¿Cuáles son  los codigos de la leffe 1000?,codigo,marca,leffe,calibre,1000
1991,¿Cuáles son  los calibres de la marca tropicana?,calibre,marca,tropicana,,
1992,¿Cual es  el stock del codigo 21299?,stock,codigo,21299,,
1993,¿Cual es  el calibre del codigo 7464?,calibre,codigo,7464,,
1994,¿Cual es la marca del codigo 18595?,marca,codigo,18595,,
1995,¿Cuáles son el negocio del codigo 18588?,negocio,codigo,18588,,
1996,¿Cuáles son el negocio del codigo 21916?,negocio,codigo,21916,,
1997,¿Cual es  el stock del codigo 16753?,stock,codigo,16753,,
1998,¿Cual es  el calibre del codigo 22437?,calibre,codigo,22437,,
1999,¿Cuáles son  los stocks de la quilmes 330?,stock,marca,quilmes,calibre,330
2000,¿Cuáles son  los codigos de la awafrut 354?,codigo,marca,awafrut,calibre,354
2001,¿Cual es  el stock del codigo 19661?,stock,codigo,19661,,
2002,¿Cual es  el stock del codigo 8126?,stock,codigo,8126,,
2003,¿Cuáles son  los codigos de la corona 340?,codigo,marca,corona,calibre,340
2004,¿Cuáles son el negocio del codigo 21844?,negocio,codigo,21844,,
2005,¿Cual es  el calibre del codigo 2583?,calibre,codigo,2583,,
2006,¿Cual es la marca del codigo 22016?,marca,codigo,22016,,
2007,¿Cuáles son  los codigos de la andes origen vendimia 1500?,codigo,marca,andes origen vendimia,calibre,1500
2008,¿Cuáles son el negocio del codigo 5512?,negocio,codigo,5512,,
2009,¿Cual es la marca del codigo 14191?,marca,codigo,14191,,
2010,¿Cual es  el stock del codigo 13059?,stock,codigo,13059,,
2011,¿Cuáles son el negocio del codigo 1475?,negocio,codigo,1475,,
2012,¿Cuáles son  los stocks de la brahma 1250?,stock,marca,brahma,calibre,1250
2013,¿Cual es la marca del codigo 2428?,marca,codigo,2428,,
2014,¿Cuáles son  los codigos de la patagonia eipa 210?,codigo,marca,patagonia eipa,calibre,210
2015,¿Cual es la marca del codigo 19090?,marca,codigo,19090,,
2016,¿Cual es  el calibre del codigo 2057?,calibre,codigo,2057,,
2017,¿Cual es la marca del codigo 7478?,marca,codigo,7478,,
2018,¿Cuáles son  los stocks de la h2oh 200?,stock,marca,h2oh,calibre,200
2019,¿Cual es  el stock del codigo 7108?,stock,codigo,7108,,
2020,¿Cuáles son el negocio del codigo 810?,negocio,codigo,810,,
2021,¿Cuáles son el negocio del codigo 22471?,negocio,codigo,22471,,
2022,¿Cuáles son  los calibres de la marca andes origen trigueña?,calibre,marca,andes origen trigueña,,
2023,¿Cual es la marca del codigo 2892?,marca,codigo,2892,,
2024,¿Cuáles son el negocio del codigo 22971?,negocio,codigo,22971,,
2025,¿Cuáles son  los codigos de la marca capriccio?,codigo,marca,capriccio,,
2026,¿Cuáles son el negocio del codigo 19340?,negocio,codigo,19340,,
2027,¿Cuáles son  los stocks del negocio CORE +?,stock,negocio,CORE +,,
2028,¿Cual es  el stock del codigo 15591?,stock,codigo,15591,,
2029,¿Cual es la marca del codigo 11833?,marca,codigo,11833,,
2030,¿Cual es  el stock del codigo 19019?,stock,codigo,19019,,
2031,¿Cuáles son  los codigos de la marca patagonia abrazo oso?,codigo,marca,patagonia abrazo oso,,
2032,¿Cuáles son  los stocks de la dante robino 355?,stock,marca,dante robino,calibre,355
2033,¿Cual es  el calibre del codigo 1606?,calibre,codigo,1606,,
2034,¿Cuáles son  los stocks de la eco de los andes 2250?,stock,marca,eco de los andes,calibre,2250
2035,¿Cuáles son  los codigos de la marca quilmes bajo cero?,codigo,marca,quilmes bajo cero,,
2036,¿Cual es  el stock del codigo 19403?,stock,codigo,19403,,
2037,¿Cuáles son el negocio del codigo 16527?,negocio,codigo,16527,,
2038,¿Cual es  el stock del codigo 22259?,stock,codigo,22259,,
2039,¿Cuáles son el negocio del codigo 1424?,negocio,codigo,1424,,
2040,¿Cual es la marca del codigo 937?,marca,codigo,937,,
2041,¿Cuáles son  los stocks de la mirinda 2000?,stock,marca,mirinda,calibre,2000
2042,¿Cual es  el calibre del codigo 2852?,calibre,codigo,2852,,
2043,¿Cuáles son  los stocks de la michelob ultra 473?,stock,marca,michelob ultra,calibre,473
2044,¿Cuáles son  los codigos de la mirinda 350?,codigo,marca,mirinda,calibre,350
2045,¿Cual es  el calibre del codigo 14194?,calibre,codigo,14194,,
2046,¿Cuáles son el negocio del codigo 14100?,negocio,codigo,14100,,
2047,¿Cual es  el stock del codigo 22338?,stock,codigo,22338,,
2048,¿Cuáles son  los codigos de la stella artois 200?,codigo,marca,stella artois,calibre,200
2049,¿Cuáles son  los codigos del calibre 30 l?,codigo,calibre,30 l,,
2050,¿Cuáles son el negocio del codigo 19260?,negocio,codigo,19260,,
2051,¿Cual es el negocio de la marca ao miel?,negocio,marca,ao miel,,
2052,¿Cual es  el calibre del codigo 18590?,calibre,codigo,18590,,
2053,¿Cual es  el calibre del codigo 23218?,calibre,codigo,23218,,
2054,¿Cuáles son  los codigos de la stella artois 300?,codigo,marca,stella artois,calibre,300
2055,¿Cuáles son  los stocks de la patagonia amber lager 710?,stock,marca,patagonia amber lager,calibre,710
2056,¿Cuáles son  los stocks de la lpqtp 30 l barril?,stock,marca,lpqtp,calibre,30 l barril
2057,¿Cual es  el calibre del codigo 14625?,calibre,codigo,14625,,
2058,¿Cuáles son  los codigos del calibre 355 botella?,codigo,calibre,355 botella,,
2059,¿Cuáles son el negocio del codigo 7713?,negocio,codigo,7713,,
2060,¿Cual es  el stock del codigo 16529?,stock,codigo,16529,,
2061,¿Cuáles son  los codigos de la paso de los toros 50 l barril?,codigo,marca,paso de los toros,calibre,50 l barril
2062,¿Cuáles son  los stocks del calibre 30 l?,stock,calibre,30 l,,
2063,¿Cuáles son el negocio del codigo 19980?,negocio,codigo,19980,,
2064,¿Cual es la marca del codigo 13953?,marca,codigo,13953,,
2065,¿Cuáles son  los codigos del negocio Importadas?,codigo,negocio,Importadas,,
2066,¿Cual es  el stock del codigo 8030?,stock,codigo,8030,,
2067,¿Cual es  el stock del codigo 10591?,stock,codigo,10591,,
2068,¿Cuáles son el negocio del codigo 22015?,negocio,codigo,22015,,
